provider_id,name,specialty,city,state,zip_code,Phone Numbers
575,"Brown, Jennings and Blair",General Practitioner,Port Garybury,Florida,39268,4951464628
586,Buckley Ltd,General Practitioner,West Laura,Vermont,53307,7449838222
588,Long LLC,General Practitioner,Carneybury,South Carolina,22215,3583391337
602,"Anderson, Griffin and Washington",General Practitioner,Dominiqueburgh,California,13193,4929094391
606,Patrick-Obrien,General Practitioner,Perezburgh,Iowa,50311,9230664058
607,"Barnes, Smith and Silva",General Practitioner,Glennhaven,Wyoming,1173,5029453137
613,Briggs LLC,General Practitioner,West Jennaberg,North Dakota,46827,8550726571
616,Ramsey-Ramirez,General Practitioner,West Charlestown,Texas,35054,0661007588
639,Rogers-Gibson,General Practitioner,Martinbury,Arizona,72815,1479723730
640,"Davis, Johnson and Rich",General Practitioner,Lake Gloriashire,Michigan,31168,8288934757
643,"Frost, Jackson and Roman",General Practitioner,Cummingsland,Hawaii,49624,4308284767
644,"Hicks, Mathews and Guzman",General Practitioner,Port Brianchester,New Mexico,20661,4100303181
648,Willis PLC,General Practitioner,East Elizabethton,New Hampshire,43327,7490114682
650,Hunter-Walsh,General Practitioner,Melissaton,Nevada,90943,1718441367
652,"Trevino, Thornton and Perkins",General Practitioner,West Sandraville,Illinois,23537,3353613810
658,Adams LLC,General Practitioner,Nicolehaven,Pennsylvania,57572,2894905003
663,Davis-Allen,General Practitioner,Vincentton,New Jersey,85727,9426205378
669,"Ross, Larson and Guerrero",General Practitioner,South Roy,Hawaii,13849,5590141946
673,Brooks LLC,General Practitioner,Kimberlychester,Hawaii,74523,4145683555
674,"Livingston, Torres and Barrett",General Practitioner,Patriciaview,Connecticut,96932,1879997927
679,Horne-Paul,General Practitioner,Marialand,Ohio,2757,9284342518
683,Chung PLC,General Practitioner,Haynesfurt,Indiana,66061,7966170079
696,Jones-Cline,General Practitioner,Jacksonfort,Virginia,51369,2750258250
698,Cox PLC,General Practitioner,New Jenniferland,Nebraska,11954,9435502852
704,Leon-Simon,General Practitioner,Marioshire,Utah,3683,2427259468
707,Welch-Roberts,General Practitioner,West Douglasport,Michigan,18681,5939219426
709,Johnson and Sons,General Practitioner,Mackenziechester,Oklahoma,99306,7328839802
719,"Knox, Smith and Elliott",General Practitioner,Lake Markfort,Connecticut,44660,7037132318
720,Rodgers-Young,General Practitioner,Mejiashire,Oregon,26487,9480191668
721,"Wood, Lee and Sanchez",General Practitioner,Port Laurahaven,Illinois,735,9886998227
722,"Marquez, Anderson and Perez",General Practitioner,Cortezshire,Montana,26858,5883460836
731,"Ford, Perkins and Martin",General Practitioner,Sarahberg,North Carolina,15362,0563320755
734,"Smith, Flores and Clark",General Practitioner,South Scott,Ohio,98511,3475572094
740,Williams and Sons,General Practitioner,South Michaelhaven,Florida,17994,6434333284
749,Stewart-Mcdonald,General Practitioner,Smithborough,Mississippi,68377,9047098686
752,West-Turner,General Practitioner,Pettystad,Florida,68484,7676291065
753,"Martinez, Williams and Welch",General Practitioner,Coffeymouth,Massachusetts,93253,8020455946
760,Cabrera LLC,General Practitioner,North Walterport,Ohio,91198,2431379036
762,"Graham, Taylor and Smith",General Practitioner,North Curtis,Texas,42294,2030898773
763,"Moody, Blake and Scott",General Practitioner,New Jessica,Missouri,87594,7747158337
767,"Conrad, Terry and Williams",General Practitioner,Nicoleberg,West Virginia,98356,5916086637
783,"Duarte, Martinez and Figueroa",General Practitioner,Port Robertmouth,Pennsylvania,58659,7511654251
790,Jones-Gonzalez,General Practitioner,Jonesfort,Massachusetts,59901,0297766983
791,Pruitt Inc,General Practitioner,North Michael,Ohio,50192,3864159798
794,Stanley-Howell,General Practitioner,East Christopher,Nevada,76538,3672746449
799,"Edwards, Alexander and Sanchez",General Practitioner,Justinstad,California,81025,5908402848
800,Walker-Perez,General Practitioner,Norrischester,Alaska,38564,5389681065
801,Mclean-Bautista,General Practitioner,Colemantown,Arizona,95062,6989994593
802,"Brock, Berry and Anderson",General Practitioner,Proctorburgh,Idaho,26328,0325518946
805,"Torres, Li and Martinez",General Practitioner,Hallside,Missouri,69602,6324292933
809,Bradley-Richard,General Practitioner,South Angela,Massachusetts,26301,2125186587
811,Reid-Cook,General Practitioner,Port Jessicaburgh,Maine,70143,4339193723
818,Scott-French,General Practitioner,Rodriguezmouth,Mississippi,43020,1592067767
819,"Barker, Case and Mora",General Practitioner,Chavezchester,New Hampshire,83960,6714603646
824,Smith Inc,General Practitioner,West Lindseymouth,Oregon,18856,5688941347
825,Fernandez-Anderson,General Practitioner,Carrfurt,Michigan,43548,7129083613
826,Sullivan Group,General Practitioner,West Andrewside,Alaska,85876,5351660834
828,"Booth, Rhodes and Walsh",General Practitioner,Bradfordland,Nebraska,14396,0361895753
849,Poole-Shelton,General Practitioner,Brayview,Alabama,45004,6675060132
850,"Clark, Flores and Jackson",General Practitioner,Contrerasmouth,Missouri,6317,2649802029
852,Cantrell-Vasquez,General Practitioner,West Christopher,New Jersey,45735,8878944995
870,Ramirez-Navarro,General Practitioner,Clarkchester,North Dakota,84560,7647181386
871,Lucero-Martin,General Practitioner,Lake Gregory,Connecticut,97696,4475035094
880,Castillo Inc,General Practitioner,Port Travistown,Iowa,13230,3122731076
884,Davenport-Haley,General Practitioner,Port Andrew,Arizona,5681,0179901436
888,"James, Mueller and Mccoy",General Practitioner,North Melissaberg,Oregon,95043,0217805157
891,Robinson and Sons,General Practitioner,North David,Arizona,55292,2556698903
893,Harrison-Horne,General Practitioner,North Jonathanchester,Wisconsin,12271,2310742926
898,Bryant and Sons,General Practitioner,Tanyaview,Indiana,41627,4048893810
901,Nicholson PLC,General Practitioner,East Melanieshire,Maine,3408,8181760376
904,Gill-Thompson,General Practitioner,Vaughnton,Wyoming,43254,5869835979
907,Parrish LLC,General Practitioner,North Kristen,California,68954,6796897366
908,Hernandez-Haley,General Practitioner,Staceymouth,Nevada,60497,9272989694
910,Glover-Johnson,General Practitioner,New James,New Jersey,10114,6748444492
915,"Hardy, Edwards and Rivera",General Practitioner,New Andreabury,North Dakota,27128,5397594430
918,Palmer Inc,General Practitioner,Andersonhaven,New Jersey,59399,7715286902
919,Strickland-Taylor,General Practitioner,Manuelhaven,Wisconsin,88194,4170945841
926,Bass-Horn,General Practitioner,East Patrick,Tennessee,49622,1566146424
941,Carlson-Lopez,General Practitioner,Brianborough,Texas,66456,5956122785
944,"Booth, Sanchez and Robinson",General Practitioner,North Andrew,Iowa,93448,9882633218
945,Miller LLC,General Practitioner,Lake Amyberg,Montana,31313,6881866123
946,Sandoval-Ramirez,General Practitioner,West Ritaburgh,Alabama,51265,9664033505
949,Patterson PLC,General Practitioner,Petersview,Maryland,69908,3287734811
952,Evans-Henderson,General Practitioner,Ronaldside,Tennessee,74446,8682629991
962,Miller Inc,General Practitioner,New Colleen,Massachusetts,47469,7889645849
968,Erickson-Wilson,General Practitioner,South Jimmyfort,South Carolina,50562,5515567553
983,Bradley PLC,General Practitioner,North Amandaville,Ohio,93075,2200254977
985,Grant Inc,General Practitioner,Timothyport,Connecticut,69308,9607569613
986,Mitchell LLC,General Practitioner,Elizabethbury,Colorado,14158,4862107725
988,Kent-Aguilar,General Practitioner,Wilkersonshire,Utah,72455,9398323771
992,"Johnson, Richards and Maldonado",General Practitioner,Cindyborough,Oklahoma,71942,3131634156
994,"Stone, Perez and Chang",General Practitioner,Kevinshire,New Hampshire,55541,3330317641
997,Dennis-Montes,General Practitioner,Gordonborough,Vermont,52640,8166973924
1002,Booker-Howard,General Practitioner,Lake Thomas,New Hampshire,87863,9628477701
1003,Jones Group,General Practitioner,New Patricia,Missouri,66698,5843966048
1011,Wilkinson-Crawford,General Practitioner,North Julia,Colorado,32946,0697126007
1012,Montgomery-White,General Practitioner,North Jeffreyburgh,Utah,67310,7672417840
1015,Stewart LLC,General Practitioner,South Coryton,Hawaii,65551,9965308128
1019,Gilbert-Schroeder,General Practitioner,Gonzalezstad,Kentucky,20419,4303393782
1020,"Horton, Flores and Duran",General Practitioner,Joshuabury,Rhode Island,1833,0410122899
1021,Daniels-Mata,General Practitioner,East Sarahburgh,Nevada,34156,4468408257
1027,"Rivas, Rocha and Wagner",General Practitioner,South Jason,Vermont,60834,1969653341
1034,Robinson-Miller,General Practitioner,West Zacharyview,New Jersey,19839,0954832305
1066,Reyes Group,General Practitioner,Fordview,Indiana,99511,5422312949
1074,Lang LLC,General Practitioner,Scottshire,Missouri,63556,8857611501
1084,Mills-Gilbert,General Practitioner,Hickmanchester,Oregon,64878,2591929084
1092,Walker-Harris,General Practitioner,New Larryville,Kentucky,56053,1002916764
1107,Dorsey PLC,General Practitioner,Angelicafurt,Texas,68716,5189586466
1115,"Hicks, Aguirre and Graham",General Practitioner,East Kimberly,Colorado,51388,9952227578
1119,"Rivera, Brown and Lopez",General Practitioner,Port Loriland,Hawaii,70769,2570326931
1126,"Finley, Lewis and Mayo",General Practitioner,East Steven,Maine,33597,9550761383
1127,"Love, Green and Williams",General Practitioner,Lake Victoria,New Jersey,22121,1314767522
1130,"Abbott, Anderson and Hardy",General Practitioner,South Lindsay,North Carolina,45781,3563641659
1131,"Chen, Zavala and Powers",General Practitioner,Beltranbury,Wisconsin,4340,0842420680
1132,Gallegos-Bruce,General Practitioner,South Jerome,Louisiana,31556,3453679655
1136,Dunlap PLC,General Practitioner,Lake Cynthiashire,Michigan,33607,2563510397
1138,Ford and Sons,General Practitioner,East Christian,Idaho,73868,2259639716
1139,Jackson-Lopez,General Practitioner,South Anthony,North Carolina,94613,0262505200
1143,Andersen-Hendrix,General Practitioner,West Geraldhaven,North Carolina,9404,7751685770
1148,Young LLC,General Practitioner,West Andre,Ohio,40091,2996010645
1158,Johnson PLC,General Practitioner,Greenberg,California,9860,9665573754
1159,Conway and Sons,General Practitioner,Shariview,Illinois,993,1424682491
1167,Lozano-Evans,General Practitioner,Port Robert,Arizona,82205,8095533394
1168,"Jenkins, Guzman and Long",General Practitioner,West James,Massachusetts,921,7245545738
1181,Garcia-Barajas,General Practitioner,Lindsayville,Alaska,51100,3607908889
1186,Ramirez-Williams,General Practitioner,New Jeffreyfort,Arizona,99075,9366992573
1189,Nicholson-Ramirez,General Practitioner,New Austinchester,Minnesota,87080,8636411433
1200,"Hernandez, Simon and Huffman",General Practitioner,Brownville,Louisiana,41727,0564985891
1202,Henry-Clark,General Practitioner,Schmidtville,Alaska,5068,4255511242
1208,Mayo-Ochoa,General Practitioner,Vargasside,Maine,96136,0775773189
1209,"Curtis, Williams and Tate",General Practitioner,West Rodney,Colorado,81476,5747569677
1210,"Parker, Snyder and Jones",General Practitioner,Ericahaven,Kentucky,79157,9386695410
1224,"Hall, Barnes and Goodwin",General Practitioner,Frybury,Utah,5470,4140097848
1235,"Wolfe, Lewis and Rivera",General Practitioner,Garymouth,Idaho,98082,9104667441
1237,Gates and Sons,General Practitioner,Marieland,Mississippi,80019,1435045544
1246,Mcgrath-Hamilton,General Practitioner,South Willie,Wyoming,39825,2885868509
1249,"Vaughan, Jenkins and Arias",General Practitioner,West Casey,Kentucky,57958,9849394142
1261,Barnes-Lee,General Practitioner,Lake Jeffrey,Massachusetts,70601,4997635647
1262,"Weaver, Zimmerman and Johnson",General Practitioner,Port Ashley,Oklahoma,55957,3424567355
1265,"Sanchez, Thomas and Fields",General Practitioner,Lake Kimberlymouth,Nevada,62841,4107821244
1266,Gates-Huber,General Practitioner,Douglaston,Pennsylvania,91830,3190501747
1277,"Manning, Torres and Johnson",General Practitioner,Jessicachester,Wyoming,44667,4211171184
1279,"Russell, Baker and Munoz",General Practitioner,East Don,Washington,58123,7299746831
1294,Watson PLC,General Practitioner,West Bryanfort,Utah,70025,2237508841
1305,"Gentry, Mendoza and Jacobs",General Practitioner,Tonyachester,Hawaii,19796,3727941097
1308,Gordon-Mccormick,General Practitioner,Lake Brittney,Maryland,40614,0846957197
1309,Davidson and Sons,General Practitioner,New Mariaburgh,Washington,73090,5012960701
1311,Rodriguez-Deleon,General Practitioner,South Christopher,Tennessee,48134,1346264728
1313,Grant and Sons,General Practitioner,South Melissa,Tennessee,45046,9535562986
1316,Payne-Sanchez,General Practitioner,North Veronica,Hawaii,9105,2452157308
1322,Newton-Smith,General Practitioner,West Curtis,Michigan,99206,1860874043
1330,Edwards-Miller,General Practitioner,Annburgh,Wyoming,56320,6213881865
1335,Jackson Group,General Practitioner,East Lisa,Mississippi,83450,1104387755
1336,Snow-Smith,General Practitioner,Simpsonfurt,Michigan,88996,3064249516
1338,Gutierrez Ltd,General Practitioner,Whiteton,New Jersey,61266,3338893246
1340,Cole PLC,General Practitioner,Jimmybury,New Hampshire,86205,1381920370
1341,Edwards Ltd,General Practitioner,Goodwinshire,South Carolina,22619,6505376616
1343,"Bennett, Mclean and Lee",General Practitioner,Dennisside,Connecticut,26198,1033714559
1345,Flynn-Fernandez,General Practitioner,Bradleystad,West Virginia,82850,0495148075
1359,"Scott, Lane and Shea",General Practitioner,North Dwaynebury,Mississippi,62263,3796930776
1375,Bailey-Lindsey,General Practitioner,South Roger,Virginia,98397,0517150456
1376,"Cobb, Thomas and Watson",General Practitioner,Port Samanthashire,Utah,17301,8715512425
1382,Bell Ltd,General Practitioner,Murrayhaven,Kansas,75123,9295001389
1385,Flores-Rivas,General Practitioner,Martinview,Idaho,40226,7846459405
1391,Collins-Moyer,General Practitioner,North James,Louisiana,98485,0011126192
1397,Morales PLC,General Practitioner,Dianechester,Maine,73518,6073412034
1405,Kennedy LLC,General Practitioner,Hernandezland,Maine,89624,1048416605
1417,Hawkins-Sparks,General Practitioner,North Yvonneland,Tennessee,14889,1202525296
1424,Johnson-Sandoval,General Practitioner,South Elizabeth,New Mexico,93314,9935245855
1440,Fletcher-Haley,General Practitioner,Robinsontown,North Carolina,38802,6182031505
1444,Simpson Inc,General Practitioner,Fischerview,Oregon,81861,6534106064
1452,Alexander Inc,General Practitioner,East Jeffreymouth,Massachusetts,89527,7489926793
1454,Compton PLC,General Practitioner,Torreston,Vermont,29704,8080086224
1456,Clay PLC,General Practitioner,West Jonathanchester,Mississippi,50364,1682822801
1462,"Simpson, Schwartz and Moreno",General Practitioner,Lake Connie,Florida,8619,4817831000
1467,Martinez-Mccormick,General Practitioner,Jenniferville,Vermont,35748,5268053326
1469,"Lopez, Griffin and Soto",General Practitioner,North Amandaton,North Carolina,41232,5074925993
1470,Shaw-Stevens,General Practitioner,South Anthonybury,Iowa,74915,4034295354
1477,"Harper, Vargas and Decker",General Practitioner,Barkerton,Minnesota,47104,9481209914
1479,Walker PLC,General Practitioner,Luistown,Colorado,91639,8755325593
1486,"Rodriguez, Richards and Myers",General Practitioner,Jamesmouth,Kentucky,36552,8757869650
1490,Rodriguez Ltd,General Practitioner,Danielsbury,South Dakota,45654,3799894677
1491,"Ellison, Miranda and Robinson",General Practitioner,Cervantesbury,Hawaii,95068,1287564064
1500,Mendoza-Collins,General Practitioner,New Kimberlybury,Minnesota,70909,4182650723
1501,Page-Morrison,General Practitioner,West Kimberlyfort,North Carolina,43670,0536668272
1506,Mcdonald-Walker,General Practitioner,Jessicachester,New York,27117,4908076776
1507,Brown Group,General Practitioner,East Steven,Wyoming,65034,8240928110
1509,Malone LLC,General Practitioner,Collinsland,Kentucky,29776,5140926155
1513,Martinez-Stewart,General Practitioner,Harringtonton,New York,76710,3799658996
1514,Moore-Cannon,General Practitioner,Jenkinsmouth,Rhode Island,29513,0357295449
1519,Fletcher-Rodriguez,General Practitioner,Michaelview,Wyoming,55346,1407272541
1526,"Williams, Bentley and Pineda",General Practitioner,Joannfort,Connecticut,42036,8962916226
1530,"Calhoun, Stone and Newton",General Practitioner,New Tracy,New Mexico,11570,6011558821
1531,Gonzalez and Sons,General Practitioner,Chapmanfort,North Carolina,89292,2946171706
1532,"Murray, White and Taylor",General Practitioner,Nicoleberg,Wisconsin,80282,2348376043
1533,Robinson and Sons,General Practitioner,Goodview,Georgia,40335,1926703239
1536,Castillo PLC,General Practitioner,East Amandashire,New York,73379,4760203434
1543,"Rodriguez, Richards and Williams",General Practitioner,Obrienbury,Alabama,48724,9520313418
1549,Chen Ltd,General Practitioner,Browningstad,West Virginia,90634,4901966202
1550,Lawrence-Cooke,General Practitioner,East Hannah,Maine,72231,6360319308
1556,Rose-Brown,General Practitioner,East Wendyberg,Texas,46450,0144392553
1558,"Walters, Matthews and Turner",General Practitioner,West Janice,Missouri,70531,2691643143
1560,"Ross, Richardson and Reid",General Practitioner,North Sarahmouth,Florida,3636,8027711169
1565,"Harris, Jefferson and Wallace",General Practitioner,Port Cherylmouth,Wisconsin,18861,6656403055
1575,"Day, Clark and Pierce",General Practitioner,Robbinsfort,West Virginia,15086,9916466572
1588,"Schneider, Evans and Robinson",General Practitioner,Danaberg,West Virginia,47363,9582615403
1592,Valenzuela-Curry,General Practitioner,Elizabethport,Maine,41444,2683591995
1598,Tyler-Smith,General Practitioner,Port Karen,New Jersey,4837,5158601444
1599,"Orozco, Rodriguez and Williams",General Practitioner,Jeffreyfurt,Minnesota,63773,1546439417
1600,Larsen-Hammond,General Practitioner,East Nicholas,New York,77289,1082082420
1607,"Eaton, Williams and Taylor",General Practitioner,Lake Kimberly,Kansas,66093,6915399673
1611,Thomas Group,General Practitioner,South Kevin,South Carolina,2382,4637690112
1613,Collins-Newman,General Practitioner,Haleyport,Wisconsin,11287,9617619262
1623,"Bennett, Anderson and Boyd",General Practitioner,North Ronnie,Oklahoma,50200,7566341535
1627,Johnson Inc,General Practitioner,Matthewville,New Hampshire,10676,1993984158
1631,Morris-Graves,General Practitioner,Strongfurt,New Mexico,21726,2093490045
1633,Williams and Sons,General Practitioner,Lake Sonyafurt,Ohio,74538,5727415696
1639,"Willis, Hanson and Parker",General Practitioner,South Kimmouth,California,72108,8474931400
1641,"Bailey, Daniels and Anderson",General Practitioner,West David,Connecticut,67089,3162358372
1645,"Pacheco, Norris and Blake",General Practitioner,Deckerton,Maine,68536,1241702311
1646,Cross-Taylor,General Practitioner,New Mitchellberg,Tennessee,17806,6045100419
1649,"Guzman, Howe and Boyd",General Practitioner,Lesliefort,Tennessee,34587,3669281555
1661,"Burke, Mcmahon and Mason",General Practitioner,Nobleshire,Vermont,49716,1621124565
1669,"Baker, Benson and Harris",General Practitioner,Lake Michaelberg,Alabama,90522,0219880433
1674,Newton Group,General Practitioner,Port Andrew,Wisconsin,51642,2477924621
1677,Smith-Barker,General Practitioner,East Victoria,Utah,74197,7070892491
1683,Holmes-Roach,General Practitioner,Johnsonport,Alabama,96801,7385624552
